address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
1936 SW Market Street Dr,Portland,OR,97201,649000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1936-SW-Market-Street-Dr-Portland-OR-97201/53908499_zpid/
3209 SW Talbot Rd,Portland,OR,97201,1299000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3209-SW-Talbot-Rd-Portland-OR-97201/53922386_zpid/
2309 SW 1st Ave APT 1644,Portland,OR,97201,439000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-1644-Portland-OR-97201/53815589_zpid/
1616 SW Harbor Way UNIT 301,Portland,OR,97201,515000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1616-SW-Harbor-Way-UNIT-301-Portland-OR-97201/53943610_zpid/
1500 SW 11th Ave UNIT 902,Portland,OR,97201,425000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-11th-Ave-UNIT-902-Portland-OR-97201/2092286685_zpid/
1900 SW River Dr UNIT 603,Portland,OR,97201,485000,NA,NA,NA,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1900-SW-River-Dr-UNIT-603-Portland-OR-97201/72257064_zpid/
1536 SW Montgomery St,Portland,OR,97201,1375000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1536-SW-Montgomery-St-Portland-OR-97201/2094971322_zpid/
2750 SW Talbot Rd,Portland,OR,97201,650000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2750-SW-Talbot-Rd-Portland-OR-97201/53873824_zpid/
SW Sherwood Dr,Portland,OR,97201,169000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Sherwood-Dr-Portland-OR-97201/98871554_zpid/
1500 SW 5th Ave UNIT 501,Portland,OR,97201,454900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-5th-Ave-UNIT-501-Portland-OR-97201/53968767_zpid/
3030 SW Nottingham Dr,Portland,OR,97201,895000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3030-SW-Nottingham-Dr-Portland-OR-97201/53980833_zpid/
1930 SW River Dr UNIT 401,Portland,OR,97201,1149000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1930-SW-River-Dr-UNIT-401-Portland-OR-97201/79898309_zpid/
111 SW Harrison St APT 10D,Portland,OR,97201,340000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-SW-Harrison-St-APT-10D-Portland-OR-97201/79894888_zpid/
1500 SW Park Ave APT 308,Portland,OR,97201,345000,NA,NA,NA,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-Park-Ave-APT-308-Portland-OR-97201/67570919_zpid/
1500 SW Park Ave APT 118,Portland,OR,97201,349000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-Park-Ave-APT-118-Portland-OR-97201/67570879_zpid/
0205 SW Montgomery St APT 205,Portland,OR,97201,494900,NA,NA,NA,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/0205-SW-Montgomery-St-APT-205-Portland-OR-97201/2097547912_zpid/
2547 SW Hillcrest Dr,Portland,OR,97201,1350000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2547-SW-Hillcrest-Dr-Portland-OR-97201/53880128_zpid/
2309 SW 1st Ave APT 1143,Portland,OR,97201,439900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-1143-Portland-OR-97201/53815562_zpid/
City Lgts,Portland,OR,97201,545000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/City-Lgts-Portland-OR-97201/2097793355_zpid/
0305 SW Montgomery St APT 504,Portland,OR,97201,380000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/0305-SW-Montgomery-St-APT-504-Portland-OR-97201/2092557389_zpid/
1500 SW Park Ave APT 309,Portland,OR,97201,299000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-Park-Ave-APT-309-Portland-OR-97201/67570920_zpid/
1833 SW Hawthorne Ter,Portland,OR,97201,950000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1833-SW-Hawthorne-Ter-Portland-OR-97201/53874689_zpid/
1500 SW 5th Ave UNIT 2002,Portland,OR,97201,575000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-5th-Ave-UNIT-2002-Portland-OR-97201/53968849_zpid/
0 SW Nottingham Dr,Portland,OR,97201,169000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-SW-Nottingham-Dr-Portland-OR-97201/2098841866_zpid/
2309 SW 1st Ave APT 244,Portland,OR,97201,409000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-244-Portland-OR-97201/53815517_zpid/
1500 SW 11th Ave UNIT 2601,Portland,OR,97201,1400000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-11th-Ave-UNIT-2601-Portland-OR-97201/2131008657_zpid/
1920 SW River Dr # E1106,Portland,OR,97201,589000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1920-SW-River-Dr-E1106-Portland-OR-97201/72257949_zpid/
1120 SW Broadway Dr,Portland,OR,97201,330000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1120-SW-Broadway-Dr-Portland-OR-97201/53998322_zpid/
2896 SW Patton Rd,Portland,OR,97201,4395000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2896-SW-Patton-Rd-Portland-OR-97201/53922400_zpid/
2650 SW Vista Ave,Portland,OR,97201,529900,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2650-SW-Vista-Ave-Portland-OR-97201/53869653_zpid/
1132 SW Broadway Dr,PORTLAND,OR,97201,75000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/1132-SW-Broadway-Dr-Portland-OR-97201/119258270_zpid/
2686 SW Vista Ave,Portland,OR,97201,735000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2686-SW-Vista-Ave-Portland-OR-97201/53869643_zpid/
1104 SW Columbia St UNIT 402,Portland,OR,97201,259000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1104-SW-Columbia-St-UNIT-402-Portland-OR-97201/68354085_zpid/
255 SW Harrison St APT 10G,Portland,OR,97201,269000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/255-SW-Harrison-St-APT-10G-Portland-OR-97201/68353650_zpid/
654 SW Grant St APT 203,Portland,OR,97201,249900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/654-SW-Grant-St-APT-203-Portland-OR-97201/82342254_zpid/
2615 SW Buena Vista Dr,Portland,OR,97201,NA,NA,NA,NA,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2615-SW-Buena-Vista-Dr-Portland-OR-97201/53814579_zpid/
2309 SW 1st Ave APT 645,Portland,OR,97201,NA,NA,NA,NA,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-645-Portland-OR-97201/53815539_zpid/
1825 SW Vista Ave,Portland,OR,97201,2150000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1825-SW-Vista-Ave-Portland-OR-97201/53835592_zpid/
1369 SW Broadway Dr,Portland,OR,97201,600000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1369-SW-Broadway-Dr-Portland-OR-97201/53874767_zpid/
0 Sw UPPR HALL,Portland,OR,97201,129000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Sw-UPPR-HALL-Portland-OR-97201/2099833434_zpid/
1750 SW West Point Ct,Portland,OR,97201,1699000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1750-SW-West-Point-Ct-Portland-OR-97201/53984647_zpid/
2211 SW 1st Ave UNIT 704,Portland,OR,97201,399999,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2211-SW-1st-Ave-UNIT-704-Portland-OR-97201/53815013_zpid/
1800 SW Elizabeth St,Portland,OR,97201,925000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1800-SW-Elizabeth-St-Portland-OR-97201/53874692_zpid/
1065 SW Rivington Dr,Portland,OR,97201,995000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1065-SW-Rivington-Dr-Portland-OR-97201/53944855_zpid/
1977 SW 13th Ave,Portland,OR,97201,99900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/1977-SW-13th-Ave-Portland-OR-97201/53935834_zpid/
1702 SW Vista Ave,Portland,OR,97201,1224500,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1702-SW-Vista-Ave-Portland-OR-97201/53978075_zpid/
1930 SW River Dr UNIT 1102,Portland,OR,97201,2499000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1930-SW-River-Dr-UNIT-1102-Portland-OR-97201/79894537_zpid/
1414 SW 3rd Ave APT 3001,Portland,OR,97201,3290000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-3001-Portland-OR-97201/2093904731_zpid/
2696 SW Ravensview Dr,Portland,OR,97201,949900,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2696-SW-Ravensview-Dr-Portland-OR-97201/2092983552_zpid/
1734 SW Vista Ave,Portland,OR,97201,899000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1734-SW-Vista-Ave-Portland-OR-97201/53835603_zpid/
2644 SW Ravensview Dr,Portland,OR,97201,799000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2644-SW-Ravensview-Dr-Portland-OR-97201/53940362_zpid/
1320 SW Hall St APT 201,Portland,OR,97201,335000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1320-SW-Hall-St-APT-201-Portland-OR-97201/53875045_zpid/
111 SW Harrison St APT 21B,Portland,OR,97201,749000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-SW-Harrison-St-APT-21B-Portland-OR-97201/79895905_zpid/
1500 SW 11th Ave UNIT 1502,Portland,OR,97201,499900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-11th-Ave-UNIT-1502-Portland-OR-97201/79896017_zpid/
2216 SW Hoffman Ave,Portland,OR,97201,919000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2216-SW-Hoffman-Ave-Portland-OR-97201/53959715_zpid/
1500 SW Park Ave APT 311,Portland,OR,97201,359900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-Park-Ave-APT-311-Portland-OR-97201/67570922_zpid/
1680 SW Montgomery Dr,Portland,OR,97201,2400000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1680-SW-Montgomery-Dr-Portland-OR-97201/53835564_zpid/
255 SW Harrison St APT 8B,Portland,OR,97201,299900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/255-SW-Harrison-St-APT-8B-Portland-OR-97201/68353629_zpid/
2648 SW Sherwood Dr,Portland,OR,97201,775000,NA,NA,NA,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2648-SW-Sherwood-Dr-Portland-OR-97201/53936121_zpid/
2642 SW Ravensview Dr,Portland,OR,97201,629000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2642-SW-Ravensview-Dr-Portland-OR-97201/53940361_zpid/
2650 SW Cross Ave,Portland,OR,97201,1850000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2650-SW-Cross-Ave-Portland-OR-97201/53954009_zpid/
2309 SW 1st Ave APT 941,Portland,OR,97201,399000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-941-Portland-OR-97201/53815550_zpid/
1464 SW Vista Ave,Portland,OR,97201,1699000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1464-SW-Vista-Ave-Portland-OR-97201/53928496_zpid/
1730 SW Harbor Way UNIT 506,Portland,OR,97201,350000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1730-SW-Harbor-Way-UNIT-506-Portland-OR-97201/53943955_zpid/
1205 SW Cardinell Dr UNIT 801,Portland,OR,97201,430000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1205-SW-Cardinell-Dr-UNIT-801-Portland-OR-97201/2096484693_zpid/
1500 SW 11th Ave UNIT 402,Portland,OR,97201,450000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1500-SW-11th-Ave-UNIT-402-Portland-OR-97201/2115907614_zpid/
2309 SW 1st Ave APT 1442,Portland,OR,97201,435000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-1442-Portland-OR-97201/53815576_zpid/
1920 SW River Dr UNIT 1301,Portland,OR,97201,3995000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1920-SW-River-Dr-UNIT-1301-Portland-OR-97201/2093021573_zpid/
1730 SW Harbor Way UNIT 603,Portland,OR,97201,370000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1730-SW-Harbor-Way-UNIT-603-Portland-OR-97201/53943960_zpid/
1616 SW Harbor Way UNIT 505,Portland,OR,97201,395000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1616-SW-Harbor-Way-UNIT-505-Portland-OR-97201/53943638_zpid/
1414 SW 3rd Ave 2303 # 2303,Portland,OR,97201,825000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-2303-2303-Portland-OR-97201/2092960225_zpid/
1930 SW River Dr UNIT 907,Portland,OR,97201,480000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1930-SW-River-Dr-UNIT-907-Portland-OR-97201/79893275_zpid/
0 SW Greenway,Portland,OR,97201,850000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-SW-Greenway-Portland-OR-97201/2093112853_zpid/
2221 SW 1st Ave APT 2424,Portland,OR,97201,525000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2221-SW-1st-Ave-APT-2424-Portland-OR-97201/53815202_zpid/
2024 SW Howards Way APT 404,Portland,OR,97201,440000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2024-SW-Howards-Way-APT-404-Portland-OR-97201/53816814_zpid/
2309 SW 1st Ave APT 544,Portland,OR,97201,424999,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-544-Portland-OR-97201/53815533_zpid/
255 SW Harrison St APT 25A,Portland,OR,97201,484500,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/255-SW-Harrison-St-APT-25A-Portland-OR-97201/68353752_zpid/
SW Sherwood Pl,Portland,OR,97201,227500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Sherwood-Pl-Portland-OR-97201/2101560846_zpid/
0 SW Fairmount Blvd,Portland or,OR,97201,145900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-SW-Fairmount-Blvd-Portland-Or-OR-97201/2100836714_zpid/
2420 SW Hoffman Ave,PORTLAND,OR,97201,395000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2420-SW-Hoffman-Ave-Portland-OR-97201/119265526_zpid/
SW Cardinell Way,Portland,OR,97201,1595000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Cardinell-Way-Portland-OR-97201/126248027_zpid/
1414 SW 3rd Ave 2604 # 2604,Portland,OR,97201,949000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-2604-2604-Portland-OR-97201/2092942289_zpid/
2221 SW 1st Ave APT 2025,Portland,OR,97201,535000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2221-SW-1st-Ave-APT-2025-Portland-OR-97201/53815183_zpid/
3434 SW Talbot Rd,Portland,OR,97201,1650000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3434-SW-Talbot-Rd-Portland-OR-97201/53998156_zpid/
2629 SW Buena Vista Dr,Portland,OR,97201,3000000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2629-SW-Buena-Vista-Dr-Portland-OR-97201/53814580_zpid/
2643 SW Buena Vista Dr,Portland,OR,97201,1700000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2643-SW-Buena-Vista-Dr-Portland-OR-97201/53814581_zpid/
1828 SW Elizabeth St,Portland,OR,97201,849000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1828-SW-Elizabeth-St-Portland-OR-97201/53874691_zpid/
1900 SW River Dr UNIT 302,Portland,OR,97201,1950000,NA,NA,NA,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1900-SW-River-Dr-UNIT-302-Portland-OR-97201/72259789_zpid/
1205 SW Cardinell Dr UNIT 802,Portland,OR,97201,500000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1205-SW-Cardinell-Dr-UNIT-802-Portland-OR-97201/2096484823_zpid/
2309 SW 1st Ave APT 1343,Portland,OR,97201,439500,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-1343-Portland-OR-97201/53815572_zpid/
1414 SW 3rd Ave APT 2303,Portland,OR,97201,825000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-2303-Portland-OR-97201/53867263_zpid/
2020 SW Market Street Dr APT 205,Portland,OR,97201,1275000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2020-SW-Market-Street-Dr-APT-205-Portland-OR-97201/53978089_zpid/
1870 SW Edgewood Rd,Portland,OR,97201,965000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1870-SW-Edgewood-Rd-Portland-OR-97201/53954865_zpid/
2642 SW Chelmsford Ave,Portland,OR,97201,1375000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2642-SW-Chelmsford-Ave-Portland-OR-97201/53954033_zpid/
2611 SW Ravensview Dr,Portland,OR,97201,1549000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2611-SW-Ravensview-Dr-Portland-OR-97201/53880126_zpid/
1414 SW 3rd Ave APT 2301,Portland,OR,97201,850000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-2301-Portland-OR-97201/53867260_zpid/
2020 SW Market Street Dr APT 104,Portland,OR,97201,1499000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2020-SW-Market-Street-Dr-APT-104-Portland-OR-97201/53978083_zpid/
1414 SW 3rd Ave APT 2604,Portland,OR,97201,949000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-2604-Portland-OR-97201/53867285_zpid/
1205 SW Cardinell Dr,Portland,OR,97201,879000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1205-SW-Cardinell-Dr-Portland-OR-97201/2106069788_zpid/
2105 SW Clifton St,Portland,OR,97201,2495000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2105-SW-Clifton-St-Portland-OR-97201/53835675_zpid/
